sku,batch,expiry_date,stock_type,qty_units,snapshot_date
PH10001,00118545,2029-02-11,Saleable,6128,2026-02-28
PH10002,00280879,2028-02-22,Saleable,299,2026-02-28
PH10002,00229227,2028-06-10,Saleable,60,2026-02-28
PH10002,00278838,2027-06-05,Sample,7,2026-02-28
PH10003,00355153,2026-06-22,Saleable,1550,2026-02-28
PH10003,00395836,2026-08-30,FOC,77,2026-02-28
PH10004,00486720,2028-12-07,Saleable,5039,2026-02-28
PH10004,00411549,2026-06-14,Saleable,4298,2026-02-28
PH10005,00546711,2026-08-10,Saleable,1,2026-02-28
PH10005,00563083,2026-09-25,Saleable,3,2026-02-28
PH10005,00530395,2028-06-15,Saleable,33,2026-02-28
PH10005,00593576,2026-10-17,FOC,1,2026-02-28
PH10006,00670419,2026-06-15,Saleable,233,2026-02-28
PH10006,00626190,2027-11-15,Saleable,8,2026-02-28
PH10007,00771337,2028-04-08,Saleable,4768,2026-02-28
PH10008,00866658,2027-10-20,Saleable,484,2026-02-28
PH10008,00827176,2026-09-06,Saleable,55,2026-02-28
PH10009,00960839,2026-08-06,Saleable,13354,2026-02-28
PH10010,01020797,2026-07-29,Saleable,13371,2026-02-28
PH10010,01098788,2027-05-14,FOC,668,2026-02-28
PH10011,01180325,2026-10-10,Saleable,1209,2026-02-28
PH10011,01156073,2028-02-27,Saleable,561,2026-02-28
PH10011,01173545,2028-06-20,Saleable,1183,2026-02-28
PH10012,01240331,2028-11-11,Saleable,1939,2026-02-28
PH10012,01243722,2026-07-03,Saleable,3524,2026-02-28
PH10012,01289185,2027-03-05,Saleable,935,2026-02-28
PH10013,01312874,2026-12-31,Saleable,133,2026-02-28
PH10013,01339782,2026-11-16,Saleable,194,2026-02-28
PH10013,01314757,2026-05-29,Saleable,113,2026-02-28
PH10013,01397932,2027-11-06,Saleable,462,2026-02-28
PH10013,01374421,2028-09-06,Saleable,14,2026-02-28
PH10013,01345760,2025-08-26,Expired,73,2026-02-28
PH10014,01494518,2026-11-14,Saleable,300,2026-02-28
PH10015,01599636,2028-07-12,Saleable,4172,2026-02-28
PH10016,01629872,2027-09-23,Saleable,820,2026-02-28
PH10016,01640014,2028-04-18,Saleable,189,2026-02-28
PH10017,01749501,2028-01-24,Saleable,4045,2026-02-28
PH10018,01852576,2027-08-01,Saleable,5104,2026-02-28
PH10018,01885324,2027-09-17,Saleable,11249,2026-02-28
PH10019,01933128,2028-04-23,Saleable,3726,2026-02-28
PH10020,02046426,2027-09-25,Saleable,31300,2026-02-28
PH10020,02025224,2025-04-07,Expired,2504,2026-02-28
PH10021,02157690,2028-03-07,Saleable,747,2026-02-28
PH10022,02294665,2028-05-05,Saleable,10094,2026-02-28
PH10022,02294355,2028-08-29,Saleable,28287,2026-02-28
PH10022,02218228,2027-11-26,FOC,1919,2026-02-28
PH10023,02377402,2028-03-12,Saleable,19124,2026-02-28
PH10023,02368230,2028-06-26,Saleable,17531,2026-02-28
PH10024,02483821,2029-02-06,Saleable,1337,2026-02-28
PH10024,02410635,2026-10-29,Saleable,364,2026-02-28
PH10024,02430349,2028-06-07,Saleable,757,2026-02-28
PH10025,02546343,2028-05-31,Saleable,7196,2026-02-28
PH10025,02597730,2028-05-26,Saleable,2727,2026-02-28
PH10026,02672897,2026-07-15,Saleable,1942,2026-02-28
PH10026,02661573,2027-04-08,Saleable,1177,2026-02-28
PH10026,02685838,2028-06-22,Saleable,2420,2026-02-28
PH10026,02621191,2027-08-30,Sample,110,2026-02-28
PH10027,02769882,2028-05-26,Saleable,558,2026-02-28
PH10027,02781728,2026-12-07,FOC,27,2026-02-28
PH10028,02814267,2028-05-22,Saleable,80,2026-02-28
PH10028,02822566,2027-01-01,Saleable,10,2026-02-28
PH10028,02882740,2028-07-22,Saleable,284,2026-02-28
PH10028,02851009,2028-01-13,Saleable,6,2026-02-28
PH10029,02986257,2027-11-19,Saleable,1568,2026-02-28
PH10030,03021002,2026-11-11,Saleable,155,2026-02-28
PH10030,03062791,2027-10-02,Saleable,198,2026-02-28
PH10031,03118120,2027-05-11,Saleable,288,2026-02-28
PH10031,03196802,2028-08-05,Saleable,596,2026-02-28
PH10032,03227303,2027-05-11,Saleable,31808,2026-02-28
PH10032,03291038,2027-09-05,Saleable,8429,2026-02-28
PH10033,03377490,2027-12-11,Saleable,575,2026-02-28
PH10034,03421654,2028-03-03,Saleable,489,2026-02-28
PH10034,03435042,2027-01-14,Saleable,855,2026-02-28
PH10035,03589637,2028-08-23,Saleable,52057,2026-02-28
PH10036,03612184,2028-02-26,Saleable,4088,2026-02-28
PH10037,03768544,2027-07-29,Saleable,2907,2026-02-28
PH10037,03727160,2028-02-17,Sample,58,2026-02-28
PH10038,03842489,2027-06-26,Saleable,4518,2026-02-28
PH10039,03976009,2026-09-22,Saleable,31,2026-02-28
PH10039,03970961,2028-05-29,Saleable,19,2026-02-28
PH10039,03998321,2027-03-14,Saleable,3,2026-02-28
PH10040,04070258,2026-08-26,Saleable,1227,2026-02-28
PH10040,04035649,2026-12-24,Saleable,1171,2026-02-28
PH10040,04015537,2028-10-01,Saleable,746,2026-02-28
PH10040,04067088,2028-02-27,Saleable,20,2026-02-28
PH10041,04148052,2027-08-09,Saleable,3056,2026-02-28
PH10042,04213670,2028-12-24,Saleable,208,2026-02-28
PH10043,04345363,2027-08-15,Saleable,22116,2026-02-28
PH10043,04339744,2027-11-11,Saleable,6000,2026-02-28
PH10044,04419147,2028-04-18,Saleable,8730,2026-02-28
PH10044,04473643,2026-09-28,Saleable,1234,2026-02-28
PH10044,04462709,2027-10-14,Saleable,1135,2026-02-28
PH10045,04593078,2028-05-24,Saleable,6416,2026-02-28
PH10045,04514452,2028-07-04,Saleable,13852,2026-02-28
PH10045,04549077,2028-07-02,Saleable,3543,2026-02-28
PH10045,04569970,2027-09-10,FOC,1190,2026-02-28
PH10046,04661778,2028-12-15,Saleable,712,2026-02-28
PH10046,04633726,2028-04-12,Saleable,101,2026-02-28
PH10046,04639417,2027-12-28,Sample,16,2026-02-28
PH10047,04756371,2027-03-03,Saleable,59,2026-02-28
PH10047,04770578,2026-06-05,Saleable,144,2026-02-28
PH10047,04792483,2027-09-28,Saleable,600,2026-02-28
PH10048,04886953,2027-09-29,Saleable,9098,2026-02-28
PH10048,04810375,2026-06-09,Saleable,5518,2026-02-28
PH10049,04950249,2028-04-17,Saleable,42489,2026-02-28
PH10049,04954058,2028-09-18,Saleable,31546,2026-02-28
PH10050,05016887,2027-08-29,Saleable,19900,2026-02-28
PH10050,05080645,2028-01-30,Saleable,3326,2026-02-28
PH10050,05075407,2026-12-21,Saleable,362,2026-02-28
PH10050,05011934,2025-08-08,Expired,1887,2026-02-28
PH10051,05117286,2028-11-14,Saleable,7869,2026-02-28
PH10051,05137929,2028-02-04,Sample,157,2026-02-28
PH10052,05264089,2028-09-12,Saleable,17873,2026-02-28
PH10052,05257891,2027-04-22,Saleable,28921,2026-02-28
PH10052,05238820,2025-03-12,Expired,3743,2026-02-28
PH10053,05330974,2026-11-13,Saleable,1429,2026-02-28
PH10053,05310457,2027-12-11,Saleable,178,2026-02-28
PH10053,05382081,2028-05-28,Saleable,1742,2026-02-28
PH10054,05442513,2027-09-08,Saleable,540,2026-02-28
PH10055,05524081,2027-02-10,Saleable,2804,2026-02-28
PH10055,05544416,2028-01-16,Sample,56,2026-02-28
PH10055,05560974,2026-12-18,Damaged,84,2026-02-28
PH10056,05630573,2028-01-13,Saleable,357,2026-02-28
PH10056,05692186,2027-07-21,Saleable,1609,2026-02-28
PH10057,05735686,2028-11-18,Saleable,11243,2026-02-28
PH10058,05818035,2028-04-26,Saleable,6567,2026-02-28
PH10059,05926322,2027-09-15,Saleable,1554,2026-02-28
PH10060,06060129,2029-01-27,Saleable,427,2026-02-28
PH10060,06091384,2027-04-11,Saleable,1067,2026-02-28
PH10060,06070708,2027-03-03,Saleable,231,2026-02-28
PH10060,06085258,2026-06-25,Saleable,2036,2026-02-28
PH10061,06184080,2028-02-28,Saleable,744,2026-02-28
PH10062,06273200,2027-05-04,Saleable,6003,2026-02-28
PH10063,06336285,2026-12-04,Saleable,5952,2026-02-28
PH10064,06433818,2026-09-01,Saleable,5728,2026-02-28
PH10065,06518841,2026-12-02,Saleable,2940,2026-02-28
PH10065,06584179,2028-08-08,Saleable,15303,2026-02-28
PH10066,06683039,2028-11-14,Saleable,9157,2026-02-28
PH10066,06654994,2025-04-13,Expired,732,2026-02-28
PH10067,06714691,2026-07-13,Saleable,22347,2026-02-28
PH10067,06754393,2025-10-10,Expired,1787,2026-02-28
PH10068,06847912,2028-12-02,Saleable,3745,2026-02-28
PH10069,06959941,2027-07-18,Saleable,287,2026-02-28
PH10069,06917824,2028-01-03,Saleable,323,2026-02-28
PH10070,07051990,2026-09-12,Saleable,493,2026-02-28
PH10070,07046831,2027-12-09,Saleable,1569,2026-02-28
PH10071,07137110,2027-09-14,Saleable,439,2026-02-28
PH10071,07169527,2027-10-10,Saleable,931,2026-02-28
PH10072,07213846,2027-01-13,Saleable,1393,2026-02-28
PH10073,07338940,2028-04-06,Saleable,9293,2026-02-28
PH10074,07415624,2026-10-23,Saleable,6690,2026-02-28
PH10074,07432339,2026-08-23,Saleable,7268,2026-02-28
PH10074,07438192,2026-12-18,Saleable,23,2026-02-28
PH10074,07433813,2027-04-20,FOC,699,2026-02-28
PH10075,07560568,2028-08-03,Saleable,40900,2026-02-28
PH10076,07693327,2026-09-14,Saleable,1436,2026-02-28
PH10076,07625317,2028-08-11,Saleable,158,2026-02-28
