order_no,order_date,customer_id,channel,sku,qty_units
500001,2025-11-03,DST-0001,Distributor,PH10311,243
500001,2025-11-03,DST-0001,Distributor,PH10162,126
500001,2025-11-03,DST-0001,Distributor,PH10119,720
500001,2025-11-03,DST-0001,Distributor,PH10256,159
500001,2025-11-03,DST-0001,Distributor,PH10095,174
500001,2025-11-03,DST-0001,Distributor,SG20043,207
500001,2025-11-03,DST-0001,Distributor,PH10420,500
500001,2025-11-03,DST-0001,Distributor,PH10206,200
500001,2025-11-03,DST-0001,Distributor,PH10038,120
500001,2025-11-03,DST-0001,Distributor,PH10206,293
500001,2025-11-03,DST-0001,Distributor,SG20021,27
500001,2025-11-03,DST-0001,Distributor,PH10095,420
500001,2025-11-03,DST-0001,Distributor,PH10150,71
500002,2025-11-03,DST-0002,Distributor,PH10270,800
500002,2025-11-03,DST-0002,Distributor,PH10356,192
500002,2025-11-03,DST-0002,Distributor,PH10236,1680
500002,2025-11-03,DST-0002,Distributor,PH10155,273
500002,2025-11-03,DST-0002,Distributor,PH10206,400
500002,2025-11-03,DST-0002,Distributor,PH10104,900
500002,2025-11-03,DST-0002,Distributor,PH10456,36
500002,2025-11-03,DST-0002,Distributor,PH10307,800
500002,2025-11-03,DST-0002,Distributor,PH10257,1440
500002,2025-11-03,DST-0002,Distributor,PH10196,202
500002,2025-11-03,DST-0002,Distributor,PH10113,120
500002,2025-11-03,DST-0002,Distributor,SG20032,300
500003,2025-11-03,DST-0003,Distributor,PH10183,60
500003,2025-11-03,DST-0003,Distributor,PH10256,276
500003,2025-11-03,DST-0003,Distributor,PH10498,500
500003,2025-11-03,DST-0003,Distributor,SG20016,50
500003,2025-11-03,DST-0003,Distributor,PH10162,480
500003,2025-11-03,DST-0003,Distributor,PH10502,600
500004,2025-11-03,DST-0004,Distributor,PH10236,720
500004,2025-11-03,DST-0004,Distributor,PH10082,360
500004,2025-11-03,DST-0004,Distributor,PH10035,1440
500004,2025-11-03,DST-0004,Distributor,PH10055,840
500004,2025-11-03,DST-0004,Distributor,PH10230,65
