sku,description,principal,category,product_group,storage_condition,units_per_case,case_length_cm,case_width_cm,case_height_cm,case_cbm,case_weight_kg,unit_cost_nzd,ti,hi,cases_per_pallet,pallet_height_cm,pallet_weight_kg,pallet_cbm
PH10001,Sertraline 100mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,120,59.6,35.1,23.8,0.04979,8.97,13.84,4,6,24,157.8,240.28000000000003,1.19496
PH10002,Pantoprazole 40mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,30.5,42.5,25.8,0.03344,8.72,11.92,6,5,30,144.0,286.6,1.0031999999999999
PH10003,Ibuprofen 200mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,240,47.7,25.2,17.2,0.02068,5.45,5.93,8,5,40,101.0,243.0,0.8272
PH10004,Azithromycin 250mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,100,33.5,38.9,32.8,0.04274,9.76,19.81,4,2,8,80.6,103.08,0.34192
PH10005,Rosuvastatin 10mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,240,42.5,32.1,33.2,0.04529,10.17,4.58,6,2,12,81.4,147.04,0.54348
PH10006,Glimepiride 4mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,240,33.8,35.2,29.2,0.03474,7.99,6.36,6,5,30,161.0,264.70000000000005,1.0422
PH10007,Carvedilol 25mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,39.6,36.3,22.8,0.03277,5.82,21.36,5,4,20,106.2,141.4,0.6554
PH10008,Carvedilol 6.25mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,45.4,42.7,32.1,0.06223,10.24,3.96,4,4,16,143.4,188.84,0.99568
PH10009,Rosuvastatin 20mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120,55.2,41.5,22.7,0.052,13.63,9.25,3,5,15,128.5,229.45000000000002,0.7799999999999999
PH10010,Carvedilol 25mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,44.2,42.9,31.3,0.05935,14.98,18.36,2,4,8,140.2,144.84,0.4748
PH10011,Loratadine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,100,42.1,41.5,24.3,0.04246,12.1,22.89,4,5,20,136.5,267.0,0.8492
PH10012,Levothyroxine 100mcg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,34.4,38.0,29.8,0.03895,6.78,20.01,6,4,24,134.2,187.72,0.9348
PH10013,Rosuvastatin 10mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,34.5,39.6,16.5,0.02254,5.61,8.74,6,6,36,114.0,226.96,0.81144
PH10014,Pantoprazole 20mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100,44.0,30.7,25.3,0.03418,9.14,23.67,6,2,12,65.6,134.68,0.41016
PH10015,Atorvastatin 40mg Tablets 3x10,Dunmore Therapeutics,Pharma,Tablets,Below 25C,180,41.4,42.5,16.9,0.02974,6.13,4.15,4,7,28,133.29999999999998,196.64,0.83272
PH10016,Prednisolone 25mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,55.1,34.7,34.2,0.06539,12.13,17.11,4,3,12,117.60000000000001,170.56,0.78468
PH10017,Furosemide 40mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,30.9,35.5,24.5,0.02688,5.26,7.72,9,6,54,162.0,309.03999999999996,1.4515200000000001
PH10018,Simvastatin 20mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100,57.9,37.0,18.1,0.03878,8.03,16.69,3,7,21,141.70000000000002,193.63,0.81438
PH10019,Ibuprofen 400mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,50.5,30.7,31.6,0.04899,8.95,7.84,4,3,12,109.80000000000001,132.39999999999998,0.58788
PH10020,Ciprofloxacin 500mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,41.9,25.7,16.1,0.017336963,2.8,19.02,6,6,36,111.60000000000001,125.8,0.624130668
PH10021,Prednisolone 5mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,36.4,42.4,33.1,0.05109,7.86,19.51,6,3,18,114.30000000000001,166.48000000000002,0.9196200000000001
