sku,description,principal,category,product_group,storage_condition,units_per_case,case_length_cm,case_width_cm,case_height_cm,case_cbm,case_weight_kg,unit_cost_nzd,ti_cases_per_layer,hi_layers
PH10001,Sertraline 100mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,120,59.6,35.1,23.8,0.04979,8.97,13.84,4,6
PH10002,Pantoprazole 40mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,30.5,42.5,25.8,0.03344,8.72,11.92,6,5
PH10003,Ibuprofen 200mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,240,47.7,25.2,17.2,0.02068,5.45,5.93,15,5
PH10004,Azithromycin 250mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,100,33.5,38.9,32.8,0.04274,9.76,19.81,4,2
PH10005,Rosuvastatin 10mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,240,42.5,32.1,33.2,0.04529,10.17,4.58,6,2
PH10006,Glimepiride 4mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,240,33.8,35.2,29.2,0.03474,7.99,6.36,6,5
PH10007,Carvedilol 25mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,39.6,36.3,22.8,0.03277,5.82,21.36,5,4
PH10008,Carvedilol 6.25mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,45.4,42.7,32.1,0.06223,10.24,3.96,4,4
PH10009,Rosuvastatin 20mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120,55.2,41.5,22.7,0.052,13.63,9.25,3,5
PH10010,Carvedilol 25mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,44.2,42.9,31.3,0.05935,14.98,18.36,2,4
PH10011,Loratadine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,100,42.1,41.5,24.3,0.04246,12.1,22.89,4,5
PH10012,Levothyroxine 100mcg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,34.4,38.0,29.8,0.03895,6.78,20.01,6,4
PH10013,Rosuvastatin 10mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,34.5,39.6,16.5,0.02254,5.61,8.74,6,6
PH10014,Pantoprazole 20mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100,44.0,30.7,25.3,0.03418,9.14,23.67,6,2
PH10015,Atorvastatin 40mg Tablets 3x10,Dunmore Therapeutics,Pharma,Tablets,Below 25C,180,41.4,42.5,16.9,0.02974,6.13,4.15,4,7
PH10016,Prednisolone 25mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,55.1,34.7,34.2,0.06539,12.13,17.11,4,3
PH10017,Furosemide 40mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,30.9,35.5,24.5,0.02688,5.26,7.72,9,6
PH10018,Simvastatin 20mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100,57.9,37.0,18.1,0.03878,8.03,16.69,3,7
PH10019,Ibuprofen 400mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,50.5,30.7,31.6,0.04899,8.95,7.84,4,3
PH10020,Ciprofloxacin 500mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,41.9,25.7,16.1,0.1734,2.8,19.02,6,6
PH10021,Prednisolone 5mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,36.4,42.4,33.1,0.05109,7.86,19.51,6,3
PH10022,Escitalopram 20mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,46.9,26.6,26.4,0.03294,8.91,8.68,7,4
PH10023,Gliclazide 80mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180,37.0,31.6,16.2,0.01894,4.55,3.72,9,8
PH10024,Ciprofloxacin 500mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,60,32.5,43.6,17.5,0.0248,5.25,11.43,6,6
PH10025,Diclofenac 50mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,51.0,34.4,31.2,0.05474,9.81,19.37,4,3
PH10026,Cetirizine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240,36.6,37.2,27.0,0.03676,9.16,9.61,5,4
PH10027,Simvastatin 20mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100,33.9,42.9,29.6,0.04305,11.9,15.11,6,3
PH10028,Bisoprolol 5mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100,57.9,35.3,19.6,0.04006,6.03,11.09,4,4
PH10029,Gliclazide 80mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180,42.1,38.4,18.9,0.03055,8.37,21.04,5,4
PH10030,Allopurinol 300mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,60,56.5,30.2,31.8,0.05426,12.08,3.73,6,2
PH10031,Atorvastatin 20mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,60,58.7,25.3,0.0,0.03698,8.86,14.21,6,2
PH10032,Pantoprazole 40mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100,52.7,39.0,31.5,0.06474,10.75,5.77,4,4
PH10033,Simvastatin 20mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,56.1,30.3,32.9,0.05592,10.82,10.85,6,3
PH10034,Ibuprofen 200mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,33.1,33.6,31.0,0.03448,6.29,14.51,9,2
PH10035,Metoprolol 50mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,59.6,34.9,26.8,0.05575,14.35,22.98,2,2
PH10036,Bisoprolol 2.5mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,100,57.8,36.7,22.1,0.04688,9.02,23.52,4,3
PH10037,Montelukast 10mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240,51.9,42.4,18.3,0.04027,7.05,14.42,4,4
