sku,description,principal,product_group,storage_condition,lines,units,sales_value_nzd,abc_velocity,abc_value,lines_per_day,pallets_per_week,pick_location,ground_faces,pick_bins,months_cover,counts_per_year
PH10001,Sertraline 100mg Tablets 100s,Venrick Laboratories,Tablets,Below 25C,54.0,3765.0,52107.6,B,B,0.6352941176470588,0.07689950980392157,Shelving pick bin,0,1,6.510491367861886,4
PH10002,Pantoprazole 40mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,0.0,0.0,0.0,D,D,0.0,0.0,No pick face,0,0,inf,1
PH10003,Ibuprofen 200mg Tablets 30s,Halvora Healthcare,Tablets,Below 25C,9.0,226.0,1340.1799999999998,C,C,0.10588235294117647,0.0013848039215686274,Direct from reserve,0,0,28.79646017699115,2
PH10004,Azithromycin 250mg Tablets 10x10,Arcadine Pharma,Tablets,Below 25C,189.0,12225.0,242177.24999999997,A,A,2.223529411764706,0.8988970588235294,Ground pick face,1,0,3.0550511247443763,12
PH10005,Rosuvastatin 10mg Tablets 2x14,Halvora Healthcare,Tablets,Below 25C,2.0,14.0,64.12,C,C,0.023529411764705882,0.00028594771241830067,Direct from reserve,0,0,10.857142857142858,2
PH10006,Glimepiride 4mg Tablets 100s,Venrick Laboratories,Tablets,Below 25C,1.0,170.0,1081.2,C,C,0.011764705882352941,0.0013888888888888887,Direct from reserve,0,0,5.670588235294118,2
PH10007,Carvedilol 25mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,46.0,2250.0,48060.0,B,B,0.5411764705882353,0.11029411764705883,Shelving pick bin,0,1,8.476444444444445,4
PH10008,Carvedilol 6.25mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,0.0,0.0,0.0,D,D,0.0,0.0,No pick face,0,0,inf,1
PH10009,Rosuvastatin 20mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,321.0,17673.0,163475.25,A,A,3.776470588235294,0.5775490196078432,Ground pick face,1,0,3.0224636451083575,12
PH10010,Carvedilol 25mg Tablets 100s,Halvora Healthcare,Tablets,Below 25C,214.0,12050.0,221238.0,A,A,2.5176470588235293,0.886029411764706,Ground pick face,1,0,4.660248962655602,12
PH10011,Loratadine 10mg Tablets 2x14,Dunmore Therapeutics,Tablets,Below 25C,9.0,522.0,11948.58,C,C,0.10588235294117647,0.015352941176470588,Direct from reserve,0,0,22.628352490421456,2
PH10012,Levothyroxine 100mcg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,40.0,3549.0,71015.49,B,B,0.47058823529411764,0.07248774509803922,Shelving pick bin,0,1,7.211045364891519,4
PH10013,Rosuvastatin 10mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,7.0,245.0,2141.3,C,C,0.08235294117647059,0.00400326797385621,Direct from reserve,0,0,14.955102040816326,2
PH10014,Pantoprazole 20mg Tablets 3x10,Marwick Pharmaceuticals,Tablets,Below 25C,0.0,0.0,0.0,D,D,0.0,0.0,No pick face,0,0,inf,1
PH10015,Atorvastatin 40mg Tablets 3x10,Dunmore Therapeutics,Tablets,Below 25C,40.0,2184.0,9063.6,B,C,0.47058823529411764,0.02549019607843137,Shelving pick bin,0,1,7.641025641025641,2
PH10016,Prednisolone 25mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,5.0,322.0,5509.42,C,C,0.058823529411764705,0.015784313725490197,Direct from reserve,0,0,12.53416149068323,2
PH10017,Furosemide 40mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,81.0,6314.0,48744.08,A,B,0.9529411764705882,0.06877995642701525,Ground pick face,1,0,2.5625593918276843,4
PH10018,Simvastatin 20mg Tablets 10x10,Venrick Laboratories,Tablets,Below 25C,329.0,21391.0,357015.79000000004,A,A,3.8705882352941177,0.599187675070028,Ground pick face,1,0,3.057921555794493,12
PH10019,Ibuprofen 400mg Tablets 30s,Marwick Pharmaceuticals,Tablets,Below 25C,49.0,4138.0,32441.92,B,B,0.5764705882352941,0.16903594771241828,Shelving pick bin,0,1,3.6017399710004834,4
PH10020,Ciprofloxacin 500mg Tablets 3x10,Marwick Pharmaceuticals,Tablets,Below 25C,288.0,21437.0,407731.74,A,A,3.388235294117647,0.19459876543209878,Ground pick face,1,0,5.840369454681158,12
PH10021,Prednisolone 5mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,21.0,1453.0,28348.030000000002,C,B,0.24705882352941178,0.026379811183732758,Direct from reserve,0,0,2.0564349621472813,4
PH10022,Escitalopram 20mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,105.0,10979.0,95297.72,A,B,1.2352941176470589,0.09610469187675068,Ground pick face,1,0,14.682575826578013,4
PH10023,Gliclazide 80mg Tablets 10x10,Arcadine Pharma,Tablets,Below 25C,151.0,14603.0,54323.16,A,B,1.776470588235294,0.06628086419753086,Ground pick face,1,0,10.04040265698829,4
PH10024,Ciprofloxacin 500mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,22.0,1818.0,20779.739999999998,C,C,0.25882352941176473,0.04950980392156863,Direct from reserve,0,0,5.408140814081408,2
PH10025,Diclofenac 50mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,90.0,5720.0,110796.40000000001,A,A,1.0588235294117647,0.2803921568627451,Ground pick face,1,0,6.939160839160839,12
PH10026,Cetirizine 10mg Tablets 2x14,Dunmore Therapeutics,Tablets,Below 25C,35.0,3803.0,36546.829999999994,B,B,0.4117647058823529,0.04660539215686275,Shelving pick bin,0,1,5.825926899815935,4
PH10027,Simvastatin 20mg Tablets 100s,Corvane Pharma,Tablets,Below 25C,5.0,274.0,4140.139999999999,C,C,0.058823529411764705,0.008954248366013072,Direct from reserve,0,0,8.540145985401459,2
PH10028,Bisoprolol 5mg Tablets 100s,Corvane Pharma,Tablets,Below 25C,7.0,405.0,4491.45,C,C,0.08235294117647059,0.01488970588235294,Direct from reserve,0,0,3.753086419753086,2
PH10029,Gliclazide 80mg Tablets 3x10,Arcadine Pharma,Tablets,Below 25C,16.0,922.0,19398.88,C,C,0.18823529411764706,0.015065359477124183,Direct from reserve,0,0,6.802603036876356,2
PH10030,Allopurinol 300mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,5.0,243.0,906.39,C,C,0.058823529411764705,0.019852941176470587,Direct from reserve,0,0,5.810699588477366,2
PH10032,Pantoprazole 40mg Tablets 10x10,Venrick Laboratories,Tablets,Below 25C,251.0,17501.0,100980.76999999999,A,A,2.9529411764705884,0.6434191176470588,Ground pick face,1,0,9.196503056968174,12
PH10033,Simvastatin 20mg Tablets 30s,Halvora Healthcare,Tablets,Below 25C,12.0,354.0,3840.9,C,C,0.1411764705882353,0.011568627450980393,Direct from reserve,0,0,6.497175141242938,2
PH10034,Ibuprofen 200mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,69.0,1745.0,25319.95,B,C,0.8117647058823529,0.09504357298474947,Shelving pick bin,0,1,3.0808022922636105,2
