sku,batch,expiry_date,stock_type,qty_units,snapshot_date,description,principal,category,product_group,storage_condition,units_per_case,case_length_cm,case_width_cm,case_height_cm,case_cbm,case_weight_kg,unit_cost_nzd,ti,hi,cases_per_pallet,pallet_height_cm,pallet_weight_kg,pallet_cbm,cases,cbm,pallets,value_nzd,positions_naive,zone,positions,shelf_bins,months_to_expiry
PH10001,118545,2029-02-11,Saleable,6128,2026-02-28,Sertraline 100mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,120.0,59.6,35.1,23.8,0.04979,8.97,13.84,4.0,6.0,24.0,157.8,240.28000000000003,1.19496,51.06666666666667,2.5426093333333335,2.1277777777777778,84811.52,3.0,Pallet racking,3.0,0,35.49342105263158
PH10002,280879,2028-02-22,Saleable,299,2026-02-28,Pantoprazole 40mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120.0,30.5,42.5,25.8,0.03344,8.72,11.92,6.0,5.0,30.0,144.0,286.6,1.0032,2.4916666666666667,0.08332133333333333,0.08305555555555556,3564.08,1.0,Shelving,0.0,1,23.815789473684212
PH10002,229227,2028-06-10,Saleable,60,2026-02-28,Pantoprazole 40mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120.0,30.5,42.5,25.8,0.03344,8.72,11.92,6.0,5.0,30.0,144.0,286.6,1.0032,0.5,0.01672,0.016666666666666666,715.2,1.0,Shelving,0.0,1,27.401315789473685
PH10002,278838,2027-06-05,Sample,7,2026-02-28,Pantoprazole 40mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120.0,30.5,42.5,25.8,0.03344,8.72,11.92,6.0,5.0,30.0,144.0,286.6,1.0032,0.058333333333333334,0.0019506666666666665,0.0019444444444444444,83.44,1.0,Shelving,0.0,1,15.197368421052632
PH10003,355153,2026-06-22,Saleable,1550,2026-02-28,Ibuprofen 200mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,240.0,47.7,25.2,17.2,0.02068,5.45,5.93,8.0,5.0,40.0,101.0,243.0,0.8272,6.458333333333333,0.13355833333333333,0.16145833333333331,9191.5,1.0,Shelving,0.0,1,3.75
PH10003,395836,2026-08-30,FOC,77,2026-02-28,Ibuprofen 200mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,240.0,47.7,25.2,17.2,0.02068,5.45,5.93,8.0,5.0,40.0,101.0,243.0,0.8272,0.32083333333333336,0.006634833333333334,0.008020833333333335,456.60999999999996,1.0,Shelving,0.0,1,6.019736842105264
PH10004,486720,2028-12-07,Saleable,5039,2026-02-28,Azithromycin 250mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,100.0,33.5,38.9,32.8,0.04274,9.76,19.81,4.0,2.0,8.0,80.6,103.08,0.34192,50.39,2.1536686,6.29875,99822.59,7.0,Pallet racking,7.0,0,33.32236842105263
PH10004,411549,2026-06-14,Saleable,4298,2026-02-28,Azithromycin 250mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,100.0,33.5,38.9,32.8,0.04274,9.76,19.81,4.0,2.0,8.0,80.6,103.08,0.34192,42.98,1.8369651999999999,5.3725,85143.37999999999,6.0,Pallet racking,6.0,0,3.486842105263158
PH10005,546711,2026-08-10,Saleable,1,2026-02-28,Rosuvastatin 10mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,240.0,42.5,32.1,33.2,0.04529,10.17,4.58,6.0,2.0,12.0,81.4,147.04,0.54348,0.004166666666666667,0.00018870833333333332,0.00034722222222222224,4.58,1.0,Shelving,0.0,1,5.361842105263158
PH10005,563083,2026-09-25,Saleable,3,2026-02-28,Rosuvastatin 10mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,240.0,42.5,32.1,33.2,0.04529,10.17,4.58,6.0,2.0,12.0,81.4,147.04,0.54348,0.0125,0.000566125,0.0010416666666666667,13.74,1.0,Shelving,0.0,1,6.875
PH10005,530395,2028-06-15,Saleable,33,2026-02-28,Rosuvastatin 10mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,240.0,42.5,32.1,33.2,0.04529,10.17,4.58,6.0,2.0,12.0,81.4,147.04,0.54348,0.1375,0.006227375,0.011458333333333334,151.14000000000001,1.0,Shelving,0.0,1,27.565789473684212
PH10005,593576,2026-10-17,FOC,1,2026-02-28,Rosuvastatin 10mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,240.0,42.5,32.1,33.2,0.04529,10.17,4.58,6.0,2.0,12.0,81.4,147.04,0.54348,0.004166666666666667,0.00018870833333333332,0.00034722222222222224,4.58,1.0,Shelving,0.0,1,7.598684210526316
PH10006,670419,2026-06-15,Saleable,233,2026-02-28,Glimepiride 4mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,240.0,33.8,35.2,29.2,0.03474,7.99,6.36,6.0,5.0,30.0,161.0,264.70000000000005,1.0422,0.9708333333333333,0.03372675,0.03236111111111111,1481.88,1.0,Shelving,0.0,1,3.5197368421052633
PH10006,626190,2027-11-15,Saleable,8,2026-02-28,Glimepiride 4mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,240.0,33.8,35.2,29.2,0.03474,7.99,6.36,6.0,5.0,30.0,161.0,264.70000000000005,1.0422,0.03333333333333333,0.001158,0.0011111111111111111,50.88,1.0,Shelving,0.0,1,20.55921052631579
